id,PositionTitle,Designation,Agency,Locations,VacancyType,Vacancy6MonthsOrLess,EmploymentCategory,NumberOfVacancies,NumberOfVacancies Several ,NumberOfApplicants,NumberOfSuccessfulApplicants
176782,Manager Budget Finance and Reporting,ADMINISTRATIVE OFFICER 7,Department of Education,Darwin,Fixed (Temporary) - Full Time,,"Accounting and Finance, Administration and Business Services, Education and Training",1,,9,1
176795,Senior Lawyer,SENIOR PROFESSIONAL OFFICER 1,Department of the Attorney-General and Justice,Darwin,Fixed (Temporary) - Full Time,,"Legal, Professional",1,,0,0
176800,Executive Assistant,ADMINISTRATIVE OFFICER 4,Department of Trade Business and Innovation,Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Accounting and Finance, Information and Records Management",1,,43,1
176801,Senior Teacher Special Education,SENIOR TEACHER 1,Department of Education,Palmerston,Fixed (Temporary) - Full Time,,Education and Training,1,,2,1
176816,Assistant Principal Middle School  ,SENIOR TEACHER 4,Department of Education,Katherine,Fixed (Temporary) - Full Time,,Education and Training,1,,4,1
176827,"Coordinator, Fire Investigations ",STATION OFFICER,"NT Police, Fire and Emergency Services",Darwin,Ongoing (Permanent) - Full Time,,"Police, Fire and Emergency Workers",1,,0,0
176832,Administration Officer,ADMINISTRATIVE OFFICER 4,Office of the Commissioner for Public Employment,Darwin,Ongoing (Permanent) - Full Time,,Administration and Business Services,1,,104,1
176844,Senior Licensing Officer,TECHNICAL 5,Department of the Attorney-General and Justice,Darwin,Ongoing (Permanent) - Full Time,,Administration and Business Services,1,,11,1
176846,Senior Practice Leader,SENIOR PROFESSIONAL OFFICER 1,Territory Families,"Alice Springs, Darwin",Ongoing (Permanent) - Full Time,,"Child Protection, Community Services, Professional, Social Work",2,,7,2
176849,Child Protection Practitioner,"PROFESSIONAL 1, PROFESSIONAL 2",Territory Families,Nhulunbuy,Ongoing (Permanent) - Full Time,,"Child Protection, Community Services, Professional, Social Work",1,,7,1
176853,Assistant Principal,SENIOR TEACHER 3,Department of Education,Palmerston,Ongoing (Permanent) - Full Time,,Education and Training,1,,15,1
176855,Bus Driver/Patient Service Assistant,PHYSICAL 3,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,"Allied Health and Health Care Services, Transport and Logistics",,Several,22,0
176857,Families as First Teachers Family Liaison Officer,ADMINISTRATIVE OFFICER 4 92%,Department of Education,Gunbalanya-Oenpelli,Fixed (Temporary) - Full Time,YES,"Education and Training, Administration and Business Services",1,,0,0
176860,Registered Nurse (Bachelor of Midwifery Employed),NURSE LEVEL 2,Department of Health,Darwin,Fixed (Temporary) - Part Time,,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",7,,36,7
176868,"Manager, Sales and Business Development",JACANA ENERGY LEVEL 4,Jacana Energy,Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Procurement, Grants and Contract Management, Program and Project Management",1,,33,0
176869,Child and Family Centre Manager,SENIOR TEACHER 2,Department of Education,Gunbalanya-Oenpelli,Fixed (Temporary) - Full Time,YES,"Education and Training, Executive and Senior Management",1,,3,1
176872,Senior Teacher ,CLASSROOM TEACHER,Department of Education,Palmerston,Fixed (Temporary) - Full Time,,Education and Training,1,,0,0
176884,Regional Director Transport and Civil Services,SENIOR PROFESSIONAL OFFICER 2,"Department of Infrastructure, Planning and Logistics",Katherine,Ongoing (Permanent) - Full Time,,"Engineering, Program and Project Management, Transport and Logistics, Executive and Senior Management",1,,10,1
176886,Clinical Nurse Specialist Infection and Prevention,NURSE LEVEL 4 RDO,Department of Health,Nhulunbuy,Ongoing (Permanent) - Full Time,,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",1,,3,0
176887,Agronomist,PROFESSIONAL 1,"Department of Industry, Tourism and Trade",Katherine,Fixed (Temporary) - Full Time,,"Agriculture, Animal and Horticulture, Primary Industry, Professional",1,,6,0
176895,Specialist Outreach Northern Territory Manager,SENIOR ADMINISTRATIVE OFFICER 1,Department of Health,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Allied Health and Health Care Services, Executive and Senior Management",1,,7,1
176896,Consultant Inclusive Practices,SENIOR TEACHER 2,Department of Education,"Alice Springs, Darwin",Fixed (Temporary) - Full Time,,Education and Training,1,,8,1
176901,Special Education Support Officer,ADMINISTRATIVE OFFICER 3 96%,Department of Education,Darwin,Ongoing (Permanent) - Full Time,,Education and Training,1,,51,1
176902,Administration Officer,ADMINISTRATIVE OFFICER 3,Territory Families,Nhulunbuy,Fixed (Temporary) - Full Time,YES,"Administration and Business Services, Child Protection, Accounting and Finance",1,,20,0
176903,Administrative Officer,ADMINISTRATIVE OFFICER 2 96%,Department of Education,Darwin,Ongoing (Permanent) - Full Time,,Education and Training,1,,0,0
176906,Home Lanaguage Officer - Mandarin,ADMINISTRATIVE OFFICER 4 96%,Department of Education,Darwin,Fixed (Temporary) - Full Time,,Education and Training,1,,6,1
176909,Senior Teacher Primary,SENIOR TEACHER 1,Department of Education,Palmerston,Fixed (Temporary) - Full Time,,Education and Training,1,,7,1
176910,Placement Coordinator,PROFESSIONAL 3,Territory Families,Darwin,Ongoing (Permanent) - Full Time,,"Professional, Child Protection, Community Services, Social Work",1,,6,2
176912,Primary Health Care Nurses,NURSE LEVEL 4 RDO,Department of Health,"Alcoota (Engawala), Ali Curung (Alekarenge), Canteen Ck-Orwatjlla, Docker Rvr-Kaltukarj, Elliott, Epenarra-Wutunurrgur, Finke (Aputula), Haasts Bluff-Ikuntji, Hermannsburg/Ntaria, Imanpa (Mt Ebenezer), Lk Nash-Alpurrurulam, Maryvale (Titjikala), Mt Allen (Yuelamu), Mt Liebig-Amunturrng, Nyirrpi-Waite Creek, Papunya, Ti Tree, Willowra-Wirilyatjar, Yuendumu, Yulara, Watarrka",Ongoing (Permanent) - Full Time,,Nursing and Midwifery,,Several,14,0
176915,Psychologist,PROFESSIONAL 2,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,"Allied Health and Health Care Services, Community Services, Professional",1,,2,0
176916,Senior Placement Practitioner,PROFESSIONAL 2,Territory Families,Darwin,Ongoing (Permanent) - Full Time,,"Professional, Child Protection, Community Services, Social Work",1,,3,1
176917,Social Worker,PROFESSIONAL 2,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,"Allied Health and Health Care Services, Professional, Social Work",1,,15,1
176920,Condition Monitoring and Balance of Plant Support Officer South,TGEN SENIOR TECHNICAL SPECIALIST,Territory Generation,Alice Springs,Ongoing (Permanent) - Full Time,,"Engineering, Trades, Maintenance and Services",1,,18,1
176921,Primary Health Care Nurse,NURSE LEVEL 4 RDO,Department of Health,"Alcoota (Engawala), Ali Curung (Alekarenge), Canteen Ck-Orwatjlla, Docker Rvr-Kaltukarj, Elliott, Epenarra-Wutunurrgur, Finke (Aputula), Haasts Bluff-Ikuntji, Hermannsburg/Ntaria, Imanpa (Mt Ebenezer), Lk Nash-Alpurrurulam, Maryvale (Titjikala), Mt Allen (Yuelamu), Mt Liebig-Amunturrng, Nyirrpi-Waite Creek, Papunya, Ti Tree, Willowra-Wirilyatjar, Yuendumu, Yulara, Watarrka",Ongoing (Permanent) - Full Time,,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",,Several,5,1
176923,Senior Specialist Consultant,SENIOR SPECIALIST CLINICIAN,Department of Health,Darwin,Fixed (Temporary) - Full Time,,"Medical, Allied Health and Health Care Services",2,,9,2
176924,Primary Health Care Nurse,NURSE LEVEL 4 RDO,Department of Health,"Alcoota (Engawala), Ali Curung (Alekarenge), Canteen Ck-Orwatjlla, Docker Rvr-Kaltukarj, Elliott, Epenarra-Wutunurrgur, Finke (Aputula), Haasts Bluff-Ikuntji, Hermannsburg/Ntaria, Imanpa (Mt Ebenezer), Lk Nash-Alpurrurulam, Maryvale (Titjikala), Mt Allen (Yuelamu), Mt Liebig-Amunturrng, Nyirrpi-Waite Creek, Papunya, Ti Tree, Willowra-Wirilyatjar, Yuendumu, Yulara, Watarrka",Ongoing (Permanent) - Full Time,,Nursing and Midwifery,,Several,10,2
176925,Network Specialist,ADMINISTRATIVE OFFICER 6,Department of Corporate and Digital Development ,Darwin,Ongoing (Permanent) - Full Time,,"Information and Communication Technology (ICT), Administration and Business Services",1,,17,1
176926,Student Wellbeing and Inclusion Coordinator,SENIOR TEACHER 4,Department of Education,Darwin,Fixed (Temporary) - Full Time,,Education and Training,1,,8,0
176930,Primary Health Care Nurse,NURSE LEVEL 4 RDO,Department of Health,"Alcoota (Engawala), Ali Curung (Alekarenge), Canteen Ck-Orwatjlla, Docker Rvr-Kaltukarj, Elliott, Epenarra-Wutunurrgur, Finke (Aputula), Haasts Bluff-Ikuntji, Hermannsburg/Ntaria, Imanpa (Mt Ebenezer), Lk Nash-Alpurrurulam, Maryvale (Titjikala), Mt Allen (Yuelamu), Mt Liebig-Amunturrng, Nyirrpi-Waite Creek, Papunya, Ti Tree, Willowra-Wirilyatjar, Yuendumu, Yulara, Watarrka",Ongoing (Permanent) - Full Time,,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",,Several,6,0
176931,Primary Health Care Nurse,NURSE LEVEL 4 RDO,Department of Health,"Alcoota (Engawala), Ali Curung (Alekarenge), Canteen Ck-Orwatjlla, Docker Rvr-Kaltukarj, Elliott, Epenarra-Wutunurrgur, Finke (Aputula), Haasts Bluff-Ikuntji, Hermannsburg/Ntaria, Imanpa (Mt Ebenezer), Lk Nash-Alpurrurulam, Maryvale (Titjikala), Mt Allen (Yuelamu), Mt Liebig-Amunturrng, Nyirrpi-Waite Creek, Papunya, Ti Tree, Willowra-Wirilyatjar, Yuendumu, Yulara, Watarrka",Ongoing (Permanent) - Full Time,,Nursing and Midwifery,,Several,14,0
176932,Team Leader Youth Outreach and Re-Engagement,ADMINISTRATIVE OFFICER 7,Territory Families,Darwin,Ongoing (Permanent) - Full Time,,"Community Services, Administration and Business Services, Social Work",1,,22,0
176935,Senior Strategic Project Officer,SENIOR ADMINISTRATIVE OFFICER 1,"Department of Territory Families, Housing and Communities",Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Community Services, Program and Project Management",1,,14,0
176938,Principal,EXECUTIVE CONTRACT PRINCIPAL LEVEL 2,Department of Education,Alice Springs,Fixed (Temporary) - Full Time,,"Education and Training, Executive and Senior Management",1,,4,1
176942,Physical Education Teacher ,CLASSROOM TEACHER,Department of Education,Palmerston,Fixed (Temporary) - Full Time,,Education and Training,1,,10,1
176943,"Data Manager, Surveillance ",ADMINISTRATIVE OFFICER 4,Department of Health,Alice Springs,Fixed (Temporary) - Part Time,YES,Administration and Business Services,1,,5,0
176945,Aboriginal Liaison Officer,ADMINISTRATIVE OFFICER 5,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,Administration and Business Services,1,,22,0
176947,Home Language Officer - Hindi,ADMINISTRATIVE OFFICER 4 96%,Department of Education,Darwin,Fixed (Temporary) - Full Time,,"Education and Training, Administration and Business Services",1,,18,1
176949,Principal Lawyer,EXECUTIVE OFFICER 1 - EXECUTIVE CONTRACT,Department of the Attorney-General and Justice,Darwin,Fixed (Temporary) - Full Time,,"Legal, Professional, Executive and Senior Management",1,,5,0
176950,Administration Officer,ADMINISTRATIVE OFFICER 3,Department of the Attorney-General and Justice,Darwin,Ongoing (Permanent) - Full Time,,Administration and Business Services,1,,62,0
176951,"Senior Teacher, Year Level Coordinator",SENIOR TEACHER 1,Department of Education,Palmerston,Fixed (Temporary) - Full Time,,Education and Training,1,,9,1
176952,Families as First Teachers Family Liaison Officer,ADMINISTRATIVE OFFICER 4 92%,Department of Education,Ngukurr-Roper River,Fixed (Temporary) - Full Time,,"Education and Training, Administration and Business Services",1,,3,1
176953,Senior Teacher Year Level Coordinator,SENIOR TEACHER 1,Department of Education,Palmerston,Fixed (Temporary) - Full Time,,Education and Training,1,,9,1
176955,"Remote Sexual Health Program Manager, Central Australia",NURSE LEVEL 5 RDO,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",1,,2,0
176956,Business Relationship Manager,SENIOR ADMINISTRATIVE OFFICER 1,Department of Education,"Darwin, Katherine, Nhulunbuy",Fixed (Temporary) - Full Time,,"Administration and Business Services, Education and Training, Information and Communication Technology (ICT)",1,,10,1
176957,Patient Services Manager,ADMINISTRATIVE OFFICER 5,Department of Health,Tennant Creek,Ongoing (Permanent) - Full Time,,Administration and Business Services,1,,6,1
176960,Patient Care Assistant - Closed Recruitment ,PHYSICAL 3 - RDO,Department of Health,"Darwin, Palmerston",Ongoing (Permanent) - Full Time,,Allied Health and Health Care Services,,Several,0,0
176963,Travel and Logistics Coordinator,ADMINISTRATIVE OFFICER 4,Department of Health,Alice Springs,Fixed (Temporary) - Full Time,,"Administration and Business Services, Medical",1,,19,1
176964,Psychologist / Social Worker ,PROFESSIONAL 3,Department of the Attorney-General and Justice,Palmerston,Fixed (Temporary) - Full Time,,"Prison Services, Professional, Social Work, Allied Health and Health Care Services, Medical",1,,2,0
176965,Senior Teacher Year Level Coordinator,SENIOR TEACHER 1,Department of Education,Palmerston,Fixed (Temporary) - Full Time,,Education and Training,1,,7,1
176966,Activity Based Funding Officer,SENIOR ADMINISTRATIVE OFFICER 1,Department of Health,Darwin,Fixed (Temporary) - Full Time,,"Accounting and Finance, Program and Project Management",1,,7,1
176971,"Family Educator, Families as First Teacher ",CLASSROOM TEACHER,Department of Education,Palmerston,Fixed (Temporary) - Full Time,,Education and Training,1,,5,0
176975,Director Community Engagement and Aboriginal Business Development,SENIOR ADMINISTRATIVE OFFICER 2,"Department of Territory Families, Housing and Communities",Darwin,Ongoing (Permanent) - Full Time,,"Executive and Senior Management, Administration and Business Services",1,,16,1
176991,Outpatient Specialist Clinic Booking Officer,ADMINISTRATIVE OFFICER 4,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Medical",,Several,0,0
177000,Grants Officer,ADMINISTRATIVE OFFICER 6,Department of Trade Business and Innovation,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Procurement, Grants and Contract Management",1,,17,0
177008,Addiction Medicine Specialist ,SPECIALIST CLINICIAN,Department of Health,Darwin,Fixed (Temporary) - Full Time,,Medical,1,,1,0
177009,Senior Ranger,TECHNICAL 3 - RDO,"Department of Tourism, Sport and Culture",Kings Canyon,Ongoing (Permanent) - Full Time,,"Agriculture, Animal and Horticulture, Environment, Natural Resources and Conservation, Tourism and Culture",1,,1,0
177010,Administration/ Finance Officer,ADMINISTRATIVE OFFICER 4,Department of Education,Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Accounting and Finance",1,,71,1
